init_time,test_name
0.053442,rust-spin-prime-numbers
0.075933,rust-spin-prime-numbers
0.082152,rust-spin-prime-numbers
0.053679,rust-spin-prime-numbers
0.078005,rust-spin-prime-numbers
0.054938,rust-spin-prime-numbers
0.084714,rust-spin-prime-numbers
0.074106,rust-spin-prime-numbers
0.054832,rust-spin-prime-numbers
0.053377,rust-spin-prime-numbers
0.076231,rust-spin-prime-numbers
0.061506,rust-spin-prime-numbers
0.091533,rust-spin-prime-numbers
0.082117,rust-spin-prime-numbers
0.090049,rust-spin-prime-numbers
0.068876,rust-spin-prime-numbers
0.072241,rust-spin-prime-numbers
0.058880,rust-spin-fuzzysearch-http
0.091205,rust-spin-fuzzysearch-http
0.099768,rust-spin-fuzzysearch-http
0.059040,rust-spin-fuzzysearch-http
0.067256,rust-spin-fuzzysearch-http
0.104146,rust-spin-fuzzysearch-http
0.058961,rust-spin-fuzzysearch-http
0.073156,rust-spin-fuzzysearch-http
0.054077,rust-spin-fuzzysearch-http
0.082152,rust-spin-fuzzysearch-http
0.065101,rust-spin-fuzzysearch-http
0.087020,rust-spin-fuzzysearch-http
0.081442,rust-spin-fuzzysearch-http
0.049512,rust-spin-fuzzysearch-http
0.057275,rust-spin-fuzzysearch-http
0.078477,rust-spin-fuzzysearch-http
0.053347,rust-spin-fuzzysearch-http
0.055141,rust-spin-fuzzysearch-http
0.069918,rust-spin-fuzzysearch-http
0.103256,rust-spin-fuzzysearch-http
0.061681,rust-spin-fuzzysearch-http
0.057349,rust-spin-fuzzysearch-http
0.090933,rust-spin-fuzzysearch-http
0.067635,rust-spin-fuzzysearch-http
0.087550,rust-spin-fuzzysearch-http
0.083960,rust-spin-fuzzysearch-http
0.092821,rust-spin-fuzzysearch-http
0.062759,rust-spin-fuzzysearch-http
0.054128,rust-spin-fuzzysearch-http
0.055102,rust-spin-fuzzysearch-http
0.081295,rust-spin-fuzzysearch-http
0.067376,rust-spin-fuzzysearch-http
0.083327,rust-spin-fuzzysearch-http
0.076658,rust-spin-fuzzysearch-http
0.077873,rust-spin-fuzzysearch-http
0.053343,rust-spin-fuzzysearch-http
0.052545,rust-spin-fuzzysearch-http
0.067575,rust-spin-fuzzysearch-http
0.059894,rust-spin-fuzzysearch-http
0.055406,rust-spin-fuzzysearch-http
0.057133,rust-spin-fuzzysearch-http
0.078807,rust-spin-fuzzysearch-http
